======================
==> dynacell: Welcome!
======================

SVN revision-nr: 606
Starting time: Wed May 19 11:28:52 2021
Command line was: ./dynacell.64bit input.bs

==========================================
Input file:
 LigLigOverlap  0.4
 ProtLigOverlap  0.6
 RMSDwithHydrogens  no
 dc_modus  broadsampling
 ligandpdbfile  bs/ligand.pdb
 ligandtopologyfile  ligand.top
 ligandtype  small_molecule
 maxNrTries  100000
 maxdistancefromprotein  0.4
 numPoses  2000
 outputfile  bs/bs.log.out
 outputframefile  bs/bs.poses.pdb
 pdbfile  protein.pdb
 randomseed  123456
 rotate_ligand  yes
 rotationMode  randomized
 separateOutFiles  no
 subsetnonbonded  all
 topologyfile  protein.top
 translationDistance  0.4
 translation_mode  randomized
 useChargeGroups  no
 writeWholePose  no
==========================================

====================================================================================================================================================================================================
Starting Random Sampling
 Energies in kJ/mol, RMSD to initial pose in nm, Overlap (OL) without unit, PoseNr 0 is the starting structure, potential contains the solvent-energy-difference Total-(Subset+notSubset)
      PoseNr   torsion        improper       lj             coulomb        pair           solvent        solvSubset     solvNotSubset  potential      RMSD           MaxLigLigOL    AverageProtLigOL
 POSE    432   1.348313e+02   6.427127e+00   1.175825e+04   6.445011e+02  -8.352828e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.191346e+04   6.882906e-01   3.394778e-01   2.271304e-01
 POSE    433   1.299487e+02   6.427127e+00   8.045355e+03   5.927097e+02  -8.346133e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.144559e+03   4.347808e-01   3.394778e-01   1.446918e-01
 POSE    434   1.395766e+02   6.427127e+00   1.695869e+04   6.464704e+02  -8.325286e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.712337e+04   7.067132e-01   3.394778e-01   1.404818e-01
 POSE    435   1.233034e+02   6.427127e+00   5.902163e+03   4.936706e+02  -8.351514e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.895144e+03   6.596786e-01   3.394778e-01   2.584109e-01
 POSE    436   1.232244e+02   6.427127e+00   7.185701e+04   5.522801e+02  -8.364157e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.190725e+04   4.338692e-01   3.394778e-01   2.488029e-01
 POSE    437   1.358352e+02   6.427127e+00   1.399979e+05   4.893125e+02  -8.298799e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.400043e+05   6.157260e-01   3.394778e-01   2.997487e-01
 POSE    438   1.264325e+02   6.427127e+00   3.890509e+04   5.397993e+02  -8.323032e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.895018e+04   6.346283e-01   3.394778e-01   2.731958e-01
 POSE    439   1.409068e+02   6.427127e+00   3.427428e+03   5.999895e+02  -8.327939e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.546689e+03   5.227821e-01   3.394778e-01   1.546849e-01
 POSE    440   1.176111e+02   6.427127e+00   6.275521e+03   4.075467e+02  -8.336975e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.178140e+03   7.063440e-01   3.394778e-01   2.310261e-01
 POSE    441   1.219686e+02   6.427127e+00   3.958462e+03   4.770324e+02  -8.366493e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.931973e+03   6.300088e-01   3.394778e-01   2.857978e-01
 POSE    442   1.195497e+02   6.427127e+00   9.324665e+04   5.696437e+02  -8.316146e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.331539e+04   2.214277e-01   3.394778e-01   1.676782e-01
 POSE    443   1.431292e+02   6.427127e+00   1.279602e+03   5.020957e+02  -8.327908e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.303195e+03   6.828663e-01   3.394778e-01   1.992547e-01
 POSE    444   1.289607e+02   6.427127e+00   1.969525e+03   3.583894e+02  -8.310104e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.837024e+03   7.535347e-01   3.394778e-01   1.327327e-01
 POSE    445   1.269628e+02   6.427127e+00   5.926580e+04   4.953695e+02  -8.316523e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.926764e+04   7.033414e-01   3.394778e-01   3.015619e-01
 POSE    446   1.238936e+02   6.427127e+00   7.913617e+02   5.903817e+02  -8.356385e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.811575e+02   7.134959e-01   3.394778e-01   1.909958e-01
 POSE    447   1.344823e+02   6.427127e+00   3.310119e+04   5.672615e+02  -8.333024e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.318079e+04   6.410009e-01   3.394778e-01   2.572706e-01
 POSE    448   1.267788e+02   6.427127e+00   1.478554e+04   4.931853e+02  -8.290935e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.478757e+04   6.728064e-01   3.394778e-01   2.414110e-01
 POSE    449   1.226935e+02   6.427127e+00   1.590059e+04   5.398845e+02  -8.364419e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.593789e+04   5.950293e-01   3.394778e-01   2.790614e-01
 POSE    450   1.242290e+02   6.427127e+00  -8.691834e+00   4.916233e+02  -8.308209e+02   0.000000e+00   0.000000e+00   0.000000e+00  -1.250142e+01   6.751522e-01   3.394778e-01   7.738421e-02
 POSE    451   1.296346e+02   6.427127e+00   8.292375e+04   5.231239e+02  -8.361337e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.295153e+04   5.119853e-01   3.394778e-01   3.171769e-01
 POSE    452   1.232030e+02   6.427127e+00   4.079191e+03   7.207564e+02  -8.371788e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.297131e+03   6.661966e-01   3.394778e-01   2.556976e-01
 POSE    453   1.180062e+02   6.427127e+00   3.319516e+04   6.438551e+02  -8.349440e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.333324e+04   7.199765e-01   3.394778e-01   3.855760e-01
 POSE    454   1.401334e+02   6.427127e+00   3.511591e+04   5.761581e+02  -8.345585e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.520880e+04   6.215073e-01   3.394778e-01   3.805188e-01
 POSE    455   1.297576e+02   6.427127e+00   1.397628e+03   5.182049e+02  -8.321793e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.424571e+03   1.546599e-01   3.394778e-01   2.123249e-01
 POSE    456   1.215963e+02   6.427127e+00   4.418310e+03   6.218794e+02  -8.334111e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.539534e+03   6.813004e-01   3.394778e-01   3.075681e-01
 POSE    457   1.343998e+02   6.427127e+00   1.862734e+05   6.359532e+02  -8.354716e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.864195e+05   4.759584e-01   3.394778e-01   4.610278e-01
 POSE    458   1.226740e+02   6.427127e+00   7.689219e+01   5.798920e+02  -8.317456e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.588715e+02   1.613813e-01   3.394778e-01   1.034825e-01
 POSE    459   1.252916e+02   6.427127e+00   9.644770e+03   5.746919e+02  -8.316190e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.724294e+03   6.005354e-01   3.394778e-01   2.786219e-01
 POSE    460   1.243012e+02   6.427127e+00   2.649247e+04   6.327913e+02  -8.362947e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.662443e+04   7.196644e-01   3.394778e-01   2.785805e-01
 POSE    461   1.206527e+02   6.427127e+00   1.618658e+04   4.705032e+02  -8.352023e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.615370e+04   6.442602e-01   3.394778e-01   2.013884e-01
 POSE    462   1.293674e+02   6.427127e+00   4.340357e+04   4.638118e+02  -8.319483e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.337596e+04   6.723148e-01   3.394778e-01   3.771145e-01
 POSE    463   1.184122e+02   6.427127e+00   8.213866e+04   5.683343e+02  -8.359977e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.220057e+04   5.377145e-01   3.394778e-01   1.765595e-01
 POSE    464   1.259055e+02   6.427127e+00   5.643414e+04   4.824221e+02  -8.364906e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.641714e+04   4.631092e-01   3.394778e-01   1.970395e-01
 POSE    465   1.121266e+02   6.427127e+00   6.243151e+04   6.834070e+02  -8.384748e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.259973e+04   6.702886e-01   3.394778e-01   3.718151e-01
 POSE    466   1.222068e+02   6.427127e+00   6.489621e+03   5.741777e+02  -8.304754e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.566689e+03   5.956535e-01   3.394778e-01   2.602144e-01
 POSE    467   1.335030e+02   6.427127e+00   1.554714e+04   4.995049e+02  -8.357403e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.555556e+04   6.226813e-01   3.394778e-01   1.894650e-01
 POSE    468   1.459140e+02   6.427127e+00   2.335615e+04   5.654840e+02  -8.320031e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.344670e+04   5.905570e-01   3.394778e-01   2.464401e-01
 POSE    469   1.367541e+02   6.427127e+00   5.830219e+03   4.120256e+02  -8.323849e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.757773e+03   7.208823e-01   3.394778e-01   1.706416e-01
 POSE    470   1.221476e+02   6.427127e+00   1.694329e+04   5.021324e+02  -8.347740e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.694395e+04   5.739894e-01   3.394778e-01   1.919848e-01
 POSE    471   1.370284e+02   6.427127e+00   1.660855e+04   5.586920e+02  -8.299603e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.668547e+04   4.612273e-01   3.394778e-01   3.013304e-01
 POSE    472   1.178183e+02   6.427127e+00   1.468575e+04   5.159315e+02  -8.378493e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.469281e+04   2.817014e-01   3.394778e-01   1.910068e-01
 POSE    473   1.311729e+02   6.427127e+00   3.909556e+04   5.855506e+02  -8.336887e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.918975e+04   5.068184e-01   3.394778e-01   3.244913e-01
 POSE    474   1.393458e+02   6.427127e+00   1.743131e+03   4.806424e+02  -8.275583e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.746720e+03   6.294123e-01   3.394778e-01   1.615965e-01
 POSE    475   1.304213e+02   6.427127e+00   4.752855e+04   5.313694e+02  -8.342904e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.756721e+04   6.668780e-01   3.394778e-01   2.467230e-01
 POSE    476   1.273563e+02   6.427127e+00   1.906858e+04   6.201836e+02  -8.365631e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.919072e+04   7.032674e-01   3.394778e-01   2.663737e-01
 POSE    477   1.357634e+02   6.427127e+00   1.997024e+05   4.820706e+02  -8.314676e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.997000e+05   4.658514e-01   3.394778e-01   3.483699e-01
 POSE    478   1.256423e+02   6.427127e+00   3.973444e+04   5.993773e+02  -8.363779e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.983424e+04   6.712369e-01   3.394778e-01   1.997216e-01
 POSE    479   1.299354e+02   6.427127e+00   1.812135e+05   6.192887e+02  -8.302122e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.813437e+05   5.446838e-01   3.394778e-01   3.577487e-01
 POSE    480   1.169796e+02   6.427127e+00   1.440245e+04   5.521684e+02  -8.373925e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.444536e+04   5.235838e-01   3.394778e-01   3.007415e-01
 POSE    481   1.389329e+02   6.427127e+00   2.970430e+04   4.498058e+02  -8.293533e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.967485e+04   7.118506e-01   3.394778e-01   2.217179e-01
 POSE    482   1.212077e+02   6.427127e+00   1.455886e+04   5.342765e+02  -8.373186e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.458819e+04   3.053645e-01   3.394778e-01   2.959240e-01
 POSE    483   1.300561e+02   6.427127e+00   4.228961e+04   6.281274e+02  -8.340212e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.242493e+04   5.083861e-01   3.394778e-01   1.582149e-01
 POSE    484   1.222904e+02   6.427127e+00   1.232957e+04   5.705135e+02  -8.313453e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.240218e+04   4.761218e-01   3.394778e-01   3.100189e-01
 POSE    485   1.280945e+02   6.427127e+00   6.365209e+04   4.465626e+02  -8.317276e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.360618e+04   5.708521e-01   3.394778e-01   4.318053e-01
 POSE    486   1.201813e+02   6.427127e+00   6.064134e+03   5.203802e+02  -8.365957e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.079259e+03   5.789365e-01   3.394778e-01   2.208809e-01
 POSE    487   1.203404e+02   6.427127e+00   4.211977e+03   5.234913e+02  -8.351541e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.231814e+03   5.826367e-01   3.394778e-01   1.428773e-01
 POSE    488   1.121898e+02   6.427127e+00   1.491832e+04   4.731386e+02  -8.331818e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.488163e+04   6.849448e-01   3.394778e-01   2.278034e-01
 POSE    489   1.395057e+02   6.427127e+00   2.565688e+04   5.957556e+02  -8.311603e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.577214e+04   5.379513e-01   3.394778e-01   3.494662e-01
 POSE    490   1.117890e+02   6.427127e+00   1.515463e+04   5.629896e+02  -8.381652e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.520240e+04   5.521338e-01   3.394778e-01   3.490962e-01
 POSE    491   1.356177e+02   6.427127e+00   3.670849e+04   5.249712e+02  -8.312367e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.674901e+04   7.799398e-01   3.394778e-01   2.888877e-01
 POSE    492   1.298253e+02   6.427127e+00   3.290526e+03   5.187918e+02  -8.294277e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.320874e+03   4.592662e-01   3.394778e-01   1.952160e-01
 POSE    493   1.212334e+02   6.427127e+00   2.488365e+03   4.772336e+02  -8.360846e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.461906e+03   7.199903e-01   3.394778e-01   2.225174e-01
 POSE    494   1.349129e+02   6.427127e+00   1.090693e+05   5.028483e+02  -8.303224e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.090879e+05   7.527633e-01   3.394778e-01   3.002116e-01
 POSE    495   1.131854e+02   6.427127e+00   1.755131e+03   4.987209e+02  -8.334596e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.744737e+03   6.928865e-01   3.394778e-01   1.815066e-01
 POSE    496   1.217183e+02   6.427127e+00   3.651421e+04   5.809686e+02  -8.282887e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.659976e+04   4.420129e-01   3.394778e-01   2.899757e-01
 POSE    497   1.161319e+02   6.427127e+00   2.434947e+04   5.833760e+02  -8.344127e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.442573e+04   5.409955e-01   3.394778e-01   3.144597e-01
 POSE    498   1.241494e+02   6.427127e+00   6.552020e+03   5.509815e+02  -8.297696e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.608540e+03   6.945292e-01   3.394778e-01   2.790318e-01
 POSE    499   1.386568e+02   6.427127e+00   3.996328e+04   5.796245e+02  -8.323669e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.006035e+04   5.789397e-01   3.394778e-01   2.579587e-01
 POSE    500   1.391156e+02   6.427127e+00   1.880892e+04   4.955770e+02  -8.328980e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.882187e+04   6.800528e-01   3.394778e-01   3.097619e-01
 POSE    501   1.165513e+02   6.427127e+00   3.167196e+04   7.036304e+02  -8.379219e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.186538e+04   6.871332e-01   3.394778e-01   3.471880e-01
 POSE    502   1.464288e+02   6.427127e+00   1.114062e+05   4.462127e+02  -8.302413e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.113797e+05   4.158191e-01   3.394778e-01   2.927479e-01
 POSE    503   1.190131e+02   6.427127e+00   1.262587e+03   5.811762e+02  -8.310509e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.342884e+03   6.437257e-01   3.394778e-01   2.884236e-01
 POSE    504   1.208671e+02   6.427127e+00   2.930649e+05   4.799394e+02  -8.365437e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.930404e+05   5.690263e-01   3.394778e-01   4.532293e-01
 POSE    505   1.163102e+02   6.427127e+00   9.906203e+04   5.352750e+02  -8.369436e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.908783e+04   6.530375e-01   3.394778e-01   3.335407e-01
 POSE    506   1.282603e+02   6.427127e+00   2.653623e+03   5.368376e+02  -8.306070e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.699272e+03   5.943045e-01   3.394778e-01   2.143637e-01
 POSE    507   1.346277e+02   6.427127e+00   9.034316e+04   5.163249e+02  -8.274139e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.037786e+04   5.111743e-01   3.394778e-01   3.046613e-01
 POSE    508   1.274387e+02   6.427127e+00   4.250676e+05   6.455569e+02  -8.370058e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.252148e+05   4.138915e-01   3.394778e-01   2.589050e-01
 POSE    509   1.363763e+02   6.427127e+00   3.399394e+04   5.824113e+02  -8.311542e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.409274e+04   5.446854e-01   3.394778e-01   2.927409e-01
 POSE    510   1.252806e+02   6.427127e+00   7.965475e+01   6.015054e+02  -8.352081e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.823916e+02   5.670666e-01   3.394778e-01   9.038938e-02
 POSE    511   1.248869e+02   6.427127e+00   1.796714e+02   5.948829e+02  -8.341390e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.764611e+02   5.813621e-01   3.394778e-01   1.177158e-01
 POSE    512   1.243724e+02   6.427127e+00   4.551788e+03   6.284385e+02  -8.299729e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.685786e+03   5.769773e-01   3.394778e-01   1.378462e-01
 POSE    513   1.324939e+02   6.427127e+00   5.735950e+03   4.486809e+02  -8.287189e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.699565e+03   6.972991e-01   3.394778e-01   2.213824e-01
 POSE    514   1.274993e+02   6.427127e+00   7.713364e+04   5.308072e+02  -8.335762e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.716953e+04   2.688352e-01   3.394778e-01   5.040255e-01
 POSE    515   1.206385e+02   6.427127e+00   2.834566e+04   4.234024e+02  -8.347177e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.826614e+04   7.265928e-01   3.394778e-01   2.024083e-01
 POSE    516   1.239954e+02   6.427127e+00   4.040231e+04   5.737941e+02  -8.308269e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.048044e+04   6.641719e-01   3.394778e-01   3.477664e-01
 POSE    517   1.150733e+02   6.427127e+00   1.316368e+05   4.656498e+02  -8.314836e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.315972e+05   4.129729e-01   3.394778e-01   1.820611e-01
 POSE    518   1.311914e+02   6.427127e+00   1.805645e+03   5.562915e+02  -8.359082e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.868379e+03   4.149798e-01   3.394778e-01   1.486602e-01
 POSE    519   1.340164e+02   6.427127e+00   1.499277e+04   5.103033e+02  -8.329529e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.501530e+04   6.328183e-01   3.394778e-01   2.421301e-01
 POSE    520   1.263458e+02   6.427127e+00   1.007253e+05   4.769841e+02  -8.333101e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.007065e+05   5.699199e-01   3.394778e-01   3.558461e-01
 POSE    521   1.361813e+02   6.427127e+00   6.430197e+04   4.361620e+02  -8.316844e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.425379e+04   6.537906e-01   3.394778e-01   3.936098e-01
 POSE    522   1.345907e+02   6.427127e+00   1.130174e+02   6.625417e+02  -8.313929e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.899160e+02   6.819582e-01   3.394778e-01   1.199833e-01
 POSE    523   1.313020e+02   6.427127e+00   1.231112e+04   4.789400e+02  -8.356340e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.229689e+04   6.581378e-01   3.394778e-01   2.280099e-01
 POSE    524   1.212137e+02   6.427127e+00   2.700634e+04   5.955797e+02  -8.326915e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.710160e+04   5.671322e-01   3.394778e-01   4.348257e-01
 POSE    525   1.344499e+02   6.427127e+00   6.530675e+02   5.559497e+02  -8.291653e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.254608e+02   1.901372e-01   3.394778e-01   1.086350e-01
 POSE    526   1.222644e+02   6.427127e+00   7.739878e+04   5.581007e+02  -8.356851e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.745462e+04   7.465081e-01   3.394778e-01   1.961196e-01
 POSE    527   1.306620e+02   6.427127e+00   2.653859e+04   6.501281e+02  -8.300290e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.670051e+04   5.598885e-01   3.394778e-01   3.033158e-01
 POSE    528   1.239257e+02   6.427127e+00   5.346074e+03   4.921493e+02  -8.341007e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.339208e+03   6.902007e-01   3.394778e-01   2.173005e-01
 POSE    529   1.254503e+02   6.427127e+00   1.697112e+03   5.221703e+02  -8.332963e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.722596e+03   7.448734e-01   3.394778e-01   1.700490e-01
 POSE    530   1.108831e+02   6.427127e+00   1.253289e+02   4.662200e+02  -8.323975e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.119342e+01   6.858073e-01   3.394778e-01   4.974149e-02
 POSE    531   1.429296e+02   6.427127e+00  -1.288725e+02   4.476490e+02  -8.292504e+02   0.000000e+00   0.000000e+00   0.000000e+00  -1.563853e+02   7.221412e-01   3.394778e-01   3.239834e-02
 POSE    532   1.165318e+02   6.427127e+00   4.514185e+03   4.105885e+02  -8.294094e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.423055e+03   7.095358e-01   3.394778e-01   1.466602e-01
 POSE    533   1.251603e+02   6.427127e+00   4.028797e+03   4.833265e+02  -8.353111e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.013132e+03   6.187166e-01   3.394778e-01   2.595569e-01
 POSE    534   1.269372e+02   6.427127e+00   7.323929e+04   6.168629e+02  -8.323482e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.336190e+04   5.457907e-01   3.394778e-01   3.768185e-01
 POSE    535   1.250517e+02   6.427127e+00   1.124233e+04   5.092598e+02  -8.340577e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.125374e+04   5.710215e-01   3.394778e-01   3.189214e-01
 POSE    536   1.313229e+02   6.427127e+00   6.179914e+04   4.851931e+02  -8.353029e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.179151e+04   6.276489e-01   3.394778e-01   2.229216e-01
 POSE    537   1.309457e+02   6.427127e+00   4.286397e+02   6.595427e+02  -8.352997e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.949874e+02   6.547572e-01   3.394778e-01   1.340513e-01
 POSE    538   1.299410e+02   6.427127e+00   6.945918e+03   5.431086e+02  -8.316086e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.998518e+03   5.875596e-01   3.394778e-01   1.975665e-01
 POSE    539   1.363137e+02   6.427127e+00   8.512809e+03   5.739916e+02  -8.347612e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.599512e+03   6.490202e-01   3.394778e-01   2.868483e-01
 POSE    540   1.401640e+02   6.427127e+00   5.148141e+03   4.297096e+02  -8.328169e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.096357e+03   7.175482e-01   3.394778e-01   3.418255e-01
 POSE    541   1.232183e+02   6.427127e+00   7.966509e+04   5.277043e+02  -8.296049e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.969757e+04   5.369104e-01   3.394778e-01   3.145400e-01
 POSE    542   1.261617e+02   6.427127e+00   7.945667e+03   4.994712e+02  -8.291018e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.953357e+03   5.556298e-01   3.394778e-01   2.130840e-01
 POSE    543   1.287782e+02   6.427127e+00   9.214172e+04   6.106753e+02  -8.351080e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.225722e+04   6.566665e-01   3.394778e-01   3.813748e-01
 POSE    544   1.255476e+02   6.427127e+00   6.623193e+04   5.911813e+02  -8.312707e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.632854e+04   7.071261e-01   3.394778e-01   3.141903e-01
 POSE    545   1.228287e+02   6.427127e+00   4.122683e+04   5.764538e+02  -8.367857e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.130049e+04   5.201126e-01   3.394778e-01   3.065566e-01
 POSE    546   1.320987e+02   6.427127e+00   6.544198e+04   5.611123e+02  -8.276245e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.551872e+04   5.669369e-01   3.394778e-01   3.374359e-01
 POSE    547   1.304886e+02   6.427127e+00   2.003728e+04   5.223188e+02  -8.296556e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.007159e+04   5.589081e-01   3.394778e-01   1.966247e-01
 POSE    548   1.393915e+02   6.427127e+00   1.099855e+05   4.131059e+02  -8.314109e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.099178e+05   7.878959e-01   3.394778e-01   2.509301e-01
 POSE    549   1.231445e+02   6.427127e+00   5.720586e+04   5.678760e+02  -8.358162e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.727222e+04   5.880481e-01   3.394778e-01   2.513271e-01
 POSE    550   1.327692e+02   6.427127e+00   9.617516e+04   5.107541e+02  -8.324404e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.619741e+04   5.634076e-01   3.394778e-01   5.475571e-01
 POSE    551   1.314309e+02   6.427127e+00   8.046335e+04   5.781005e+02  -8.342055e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.054984e+04   2.561972e-01   3.394778e-01   3.904919e-01
 POSE    552   1.222798e+02   6.427127e+00   9.127800e+03   5.344740e+02  -8.317760e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.163937e+03   6.521396e-01   3.394778e-01   2.936856e-01
 POSE    553   1.393652e+02   6.427127e+00   3.332918e+03   4.781672e+02  -8.345618e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.327048e+03   7.200806e-01   3.394778e-01   1.981297e-01
 POSE    554   1.336290e+02   6.427127e+00   1.142597e+04   5.247386e+02  -8.328826e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.146261e+04   7.098216e-01   3.394778e-01   3.629962e-01
 POSE    555   1.240075e+02   6.427127e+00   1.124085e+05   3.742701e+02  -8.319456e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.122860e+05   3.012575e-01   3.394778e-01   4.239559e-01
 POSE    556   1.211999e+02   6.427127e+00   7.025489e+03   4.983192e+02  -8.321853e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.023981e+03   2.529386e-01   3.394778e-01   2.105674e-01
 POSE    557   1.365896e+02   6.427127e+00   3.057633e+04   5.400447e+02  -8.340927e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.063003e+04   5.917605e-01   3.394778e-01   1.633343e-01
 POSE    558   1.350757e+02   6.427127e+00   8.630927e+03   6.213848e+02  -8.345343e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.764012e+03   4.906358e-01   3.394778e-01   2.364242e-01
 POSE    559   1.237090e+02   6.427127e+00   9.419000e+03   4.334895e+02  -8.336518e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.353706e+03   6.512114e-01   3.394778e-01   2.362363e-01
 POSE    560   1.245239e+02   6.427127e+00   5.478976e+04   5.392582e+02  -8.306870e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.483402e+04   6.686999e-01   3.394778e-01   3.866924e-01
